time,open,high,low,close,Volume,Volume MA,pctc,mark,time_since_start,time_since_start_seconds,time_since_last_event,time_since_last_event_seconds
2020-10-26 14:30:00+00:00,540.69,541.53,532.51,532.82,49098.0,32742.55,-0.015065530436068508,3,544 days 01:00:00,783420.0,5 days 00:00:00,7200.0
2020-10-26 15:30:00+00:00,532.81,533.59,529.87,531.81,28694.0,33326.5,-0.0018955744904473049,4,544 days 02:00:00,783480.0,0 days 02:00:00,120.0
2020-10-26 16:30:00+00:00,530.82,531.07,522.81,522.88,25586.0,33828.8,-0.016791711325473302,3,544 days 03:00:00,783540.0,0 days 02:00:00,120.0
2020-10-26 17:30:00+00:00,522.51,524.98,521.54,524.23,21939.0,33650.3,0.0025818543451652243,4,544 days 04:00:00,783600.0,0 days 02:00:00,120.0
2020-10-26 18:30:00+00:00,523.95,525.67,522.4,525.0,31706.0,32954.6,0.0014688209373747707,4,544 days 05:00:00,783660.0,0 days 01:00:00,60.0
2020-10-26 19:30:00+00:00,525.1,525.96,522.24,525.67,44706.0,33001.1,0.0012761904761904308,4,544 days 06:00:00,783720.0,0 days 01:00:00,60.0
2020-10-27 13:30:00+00:00,532.08,536.65,527.78,528.79,46796.0,32901.5,0.005935282591740032,4,545 days 00:00:00,784800.0,0 days 18:00:00,1080.0
2020-10-27 14:30:00+00:00,528.57,536.33,528.57,534.16,30963.0,33289.35,0.010155260122165721,4,545 days 01:00:00,784860.0,0 days 01:00:00,60.0
2020-10-27 15:30:00+00:00,534.19,536.98,532.56,532.56,24817.0,32774.55,-0.0029953571963456938,4,545 days 02:00:00,784920.0,0 days 01:00:00,60.0
2020-10-27 16:30:00+00:00,532.95,533.61,530.53,531.76,15705.0,32064.35,-0.0015021781583295368,4,545 days 03:00:00,784980.0,0 days 01:00:00,60.0
2020-10-27 17:30:00+00:00,531.6,533.55,531.1,533.19,13291.0,31366.95,0.0026891830901158986,4,545 days 04:00:00,785040.0,0 days 01:00:00,60.0
2020-10-27 18:30:00+00:00,533.13,534.53,531.07,534.53,18577.0,30452.3,0.00251317541589291,4,545 days 05:00:00,785100.0,0 days 01:00:00,60.0
2020-10-27 19:30:00+00:00,534.44,537.68,534.44,535.79,42507.0,30060.3,0.0023572110078011743,4,545 days 06:00:00,785160.0,0 days 01:00:00,60.0
2020-10-28 13:30:00+00:00,527.67,530.4,513.85,514.18,52434.0,31500.1,-0.04033296627409999,2,546 days 00:00:00,786240.0,55 days 00:00:00,79200.0
2020-10-28 14:30:00+00:00,514.75,518.12,513.8,514.85,27888.0,31876.85,0.0013030456260454404,4,546 days 01:00:00,786300.0,0 days 19:00:00,1140.0
2020-10-28 15:30:00+00:00,514.57,516.02,513.72,514.22,32135.0,32194.05,-0.0012236573759347724,4,546 days 02:00:00,786360.0,0 days 01:00:00,60.0
2020-10-28 16:30:00+00:00,513.94,515.5,509.42,511.28,34226.0,32309.75,-0.005717397222978593,4,546 days 03:00:00,786420.0,0 days 01:00:00,60.0
2020-10-28 17:30:00+00:00,511.36,513.19,510.15,511.92,20228.0,31987.9,0.0012517602879049683,4,546 days 04:00:00,786480.0,0 days 01:00:00,60.0
2020-10-28 18:30:00+00:00,512.0,512.79,508.12,511.93,25076.0,31354.25,1.9534302234669454e-05,4,546 days 05:00:00,786540.0,0 days 01:00:00,60.0
2020-10-28 19:30:00+00:00,512.19,513.82,504.39,505.07,79223.0,33279.75,-0.013400269568105028,3,546 days 06:00:00,786600.0,2 days 03:00:00,3060.0
2020-10-29 13:30:00+00:00,513.0,520.75,510.1,520.48,56269.0,33638.3,0.030510622289979583,5,547 days 00:00:00,787680.0,17 days 00:00:00,24480.0
2020-10-29 14:30:00+00:00,520.5,523.24,516.75,522.95,32353.0,33821.25,0.004745619428220049,4,547 days 01:00:00,787740.0,0 days 20:00:00,1200.0
2020-10-29 15:30:00+00:00,522.52,522.52,519.06,520.88,17550.0,33419.45,-0.003958313414284431,4,547 days 02:00:00,787800.0,0 days 01:00:00,60.0
2020-10-29 16:30:00+00:00,520.41,523.75,519.82,523.75,15895.0,33117.25,0.0055099063123944525,4,547 days 03:00:00,787860.0,0 days 01:00:00,60.0
2020-10-29 17:30:00+00:00,523.67,527.68,521.79,527.51,24390.0,32751.45,0.007178997613365157,4,547 days 04:00:00,787920.0,0 days 01:00:00,60.0
2020-10-29 18:30:00+00:00,527.48,527.62,522.8,524.3,27495.0,31890.9,-0.00608519269776886,4,547 days 05:00:00,787980.0,0 days 01:00:00,60.0
2020-10-29 19:30:00+00:00,524.18,525.75,520.3,520.62,37401.0,31421.15,-0.0070188823192827154,4,547 days 06:00:00,788040.0,0 days 01:00:00,60.0
